Latitude (decimal degrees):	-33.842
Longitude (decimal degrees):	18.840
Elevation (m):	216
Radiation database:	PVGIS-SARAH3


Slope: -1 deg. (optimum)
Azimuth: -180 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0002,0.0,0.0,0.0,17.07,2.83,0.0
20230101:0102,0.0,0.0,0.0,16.51,2.69,0.0
20230101:0202,0.0,0.0,0.0,16.04,2.69,0.0
20230101:0302,0.0,0.0,0.0,15.7,2.69,0.0
20230101:0402,9.49,23.0,3.8,15.41,2.55,0.0
20230101:0502,168.93,243.06,15.39,17.06,2.62,0.0
20230101:0602,372.08,475.44,27.46,20.22,2.83,0.0
20230101:0702,543.63,694.38,39.83,24.23,3.38,0.0
20230101:0802,668.33,878.33,52.27,27.31,3.24,0.0
20230101:0902,752.19,1025.47,64.46,30.0,2.76,0.0
20230101:1002,793.39,1119.89,75.25,32.16,2.14,0.0
20230101:1102,781.26,1119.87,78.72,33.64,1.79,0.0
20230101:1202,758.9,1075.15,70.45,34.33,2.21,0.0
20230101:1302,693.21,956.86,58.72,34.27,2.83,0.0
20230101:1402,592.78,795.81,46.34,33.5,3.52,0.0
20230101:1502,442.6,585.89,33.91,32.04,4.0,0.0
20230101:1602,260.37,360.81,21.66,30.09,4.07,0.0
20230101:1702,74.54,138.0,9.79,27.97,3.72,0.0
20230101:1802,0.0,0.0,0.0,25.85,3.79,0.0
20230101:1902,0.0,0.0,0.0,24.12,3.93,0.0
20230101:2002,0.0,0.0,0.0,22.59,4.0,0.0
20230101:2102,0.0,0.0,0.0,21.26,4.07,0.0
20230101:2202,0.0,0.0,0.0,20.26,3.59,0.0
20230101:2302,0.0,0.0,0.0,19.56,3.17,0.0
20230102:0002,0.0,0.0,0.0,19.04,3.03,0.0
20230102:0102,0.0,0.0,0.0,18.78,2.97,0.0
20230102:0202,0.0,0.0,0.0,18.6,2.76,0.0
20230102:0302,0.0,0.0,0.0,18.36,2.55,0.0
20230102:0402,8.68,22.0,3.66,18.49,2.41,0.0
20230102:0502,162.58,238.01,15.26,19.92,2.34,0.0
20230102:0602,359.65,465.4,27.33,22.19,2.41,0.0
20230102:0702,524.71,682.36,39.7,25.56,2.14,0.0
20230102:0802,641.74,869.33,52.14,28.49,1.45,0.0
20230102:0902,708.79,1015.47,64.33,30.82,0.48,0.0
20230102:1002,744.44,1103.93,75.11,32.58,0.21,0.0
20230102:1102,758.82,1115.85,78.67,33.78,0.76,0.0
20230102:1202,735.59,1060.18,70.48,34.49,1.31,0.0
20230102:1302,677.09,948.85,58.77,34.71,1.93,0.0
20230102:1402,574.05,784.79,46.4,34.35,2.21,0.0
20230102:1502,427.3,577.84,33.97,33.49,2.14,0.0
20230102:1602,251.58,355.74,21.71,32.26,1.93,0.0
20230102:1702,72.98,136.93,9.83,30.66,1.38,0.0
20230102:1802,0.0,0.0,0.0,29.07,0.76,0.0
20230102:1902,0.0,0.0,0.0,26.51,1.66,0.0
20230102:2002,0.0,0.0,0.0,25.1,1.66,0.0
20230102:2102,0.0,0.0,0.0,23.96,1.72,0.0
20230102:2202,0.0,0.0,0.0,23.02,1.52,0.0
20230102:2302,0.0,0.0,0.0,22.55,1.17,0.0
20230103:0002,0.0,0.0,0.0,21.67,1.1,0.0
20230103:0102,0.0,0.0,0.0,19.07,1.38,0.0
20230103:0202,0.0,0.0,0.0,18.02,1.45,0.0
20230103:0302,0.0,0.0,0.0,17.53,1.31,0.0
20230103:0402,8.74,22.0,3.53,17.12,1.24,0.0
20230103:0502,158.82,231.86,15.12,19.08,1.45,0.0
20230103:0602,359.82,465.4,27.2,21.26,1.93,0.0
20230103:0702,532.13,679.35,39.56,23.22,2.83,0.0
20230103:0802,669.38,870.32,52.01,25.14,3.17,0.0
20230103:0902,762.28,1012.48,64.19,26.81,3.38,0.0
20230103:1002,818.58,1100.95,74.98,27.89,3.66,0.0
20230103:1102,826.03,1112.86,78.6,28.25,3.79,0.0
20230103:1202,794.56,1059.19,70.5,28.21,4.14,0.0
20230103:1302,724.86,947.85,58.82,27.21,4.34,0.0
20230103:1402,613.41,784.77,46.45,25.54,4.41,0.0
20230103:1502,458.22,581.82,34.01,23.91,4.21,0.0
20230103:1602,240.27,319.15,21.75,22.32,3.59,0.0
20230103:1702,55.64,90.4,9.86,21.06,2.76,0.0
20230103:1802,0.0,0.0,0.0,19.83,2.0,0.0
20230103:1902,0.0,0.0,0.0,19.17,1.79,0.0
20230103:2002,0.0,0.0,0.0,18.8,1.59,0.0
20230103:2102,0.0,0.0,0.0,18.65,1.52,0.0
20230103:2202,0.0,0.0,0.0,18.32,1.72,0.0
