Latitude (decimal degrees):	-33.843
Longitude (decimal degrees):	18.834
Elevation (m):	202
Radiation database:	PVGIS-SARAH3


Slope: 29 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0002,0.0,0.0,0.0,17.07,2.83,0.0
20230101:0102,0.0,0.0,0.0,16.51,2.69,0.0
20230101:0202,0.0,0.0,0.0,16.04,2.69,0.0
20230101:0302,0.0,0.0,0.0,15.7,2.69,0.0
20230101:0402,8.17,20.95,3.79,15.41,2.55,0.0
20230101:0502,250.48,328.13,15.38,17.06,2.62,0.0
20230101:0602,393.05,500.78,27.46,20.22,2.83,0.0
20230101:0702,501.03,642.47,39.82,24.23,3.38,0.0
20230101:0802,578.19,755.63,52.27,27.31,3.24,0.0
20230101:0902,630.74,845.35,64.46,30.0,2.76,0.0
20230101:1002,656.66,902.5,75.24,32.16,2.14,0.0
20230101:1102,647.11,901.42,78.72,33.64,1.79,0.0
20230101:1202,631.9,874.77,70.46,34.33,2.21,0.0
20230101:1302,588.83,802.96,58.72,34.27,2.83,0.0
20230101:1402,525.39,705.05,46.35,33.5,3.52,0.0
20230101:1502,429.52,571.29,33.92,32.04,4.0,0.0
20230101:1602,310.5,418.38,21.67,30.09,4.07,0.0
20230101:1702,159.41,231.5,9.79,27.97,3.72,0.0
20230101:1802,0.0,0.0,0.0,25.85,3.79,0.0
20230101:1902,0.0,0.0,0.0,24.12,3.93,0.0
20230101:2002,0.0,0.0,0.0,22.59,4.0,0.0
20230101:2102,0.0,0.0,0.0,21.26,4.07,0.0
20230101:2202,0.0,0.0,0.0,20.26,3.59,0.0
20230101:2302,0.0,0.0,0.0,19.56,3.17,0.0
20230102:0002,0.0,0.0,0.0,19.04,3.03,0.0
20230102:0102,0.0,0.0,0.0,18.78,2.97,0.0
20230102:0202,0.0,0.0,0.0,18.6,2.76,0.0
20230102:0302,0.0,0.0,0.0,18.36,2.55,0.0
20230102:0402,7.45,20.04,3.66,18.49,2.41,0.0
20230102:0502,241.16,321.21,15.25,19.92,2.34,0.0
20230102:0602,379.96,490.23,27.33,22.19,2.41,0.0
20230102:0702,484.24,631.69,39.69,25.56,2.14,0.0
20230102:0802,557.13,747.83,52.14,28.49,1.45,0.0
20230102:0902,599.37,836.93,64.32,30.82,0.48,0.0
20230102:1002,622.46,890.07,75.11,32.58,0.21,0.0
20230102:1102,631.01,896.78,78.67,33.78,0.76,0.0
20230102:1202,614.52,862.83,70.48,34.49,1.31,0.0
20230102:1302,575.92,795.56,58.77,34.71,1.93,0.0
20230102:1402,509.35,694.94,46.41,34.35,2.21,0.0
20230102:1502,414.2,562.59,33.97,33.49,2.14,0.0
20230102:1602,298.09,410.85,21.72,32.26,1.93,0.0
20230102:1702,153.22,227.49,9.83,30.66,1.38,0.0
20230102:1802,0.0,0.0,0.0,29.07,0.76,0.0
20230102:1902,0.0,0.0,0.0,26.51,1.66,0.0
20230102:2002,0.0,0.0,0.0,25.1,1.66,0.0
20230102:2102,0.0,0.0,0.0,23.96,1.72,0.0
20230102:2202,0.0,0.0,0.0,23.02,1.52,0.0
20230102:2302,0.0,0.0,0.0,22.55,1.17,0.0
20230103:0002,0.0,0.0,0.0,21.67,1.1,0.0
20230103:0102,0.0,0.0,0.0,19.07,1.38,0.0
20230103:0202,0.0,0.0,0.0,18.02,1.45,0.0
20230103:0302,0.0,0.0,0.0,17.53,1.31,0.0
20230103:0402,7.5,20.04,3.52,17.12,1.24,0.0
20230103:0502,232.92,310.62,15.12,19.08,1.45,0.0
20230103:0602,380.22,490.37,27.2,21.26,1.93,0.0
20230103:0702,491.02,629.23,39.56,23.22,2.83,0.0
20230103:0802,578.69,748.41,52.0,25.14,3.17,0.0
20230103:0902,637.96,835.01,64.19,26.81,3.38,0.0
20230103:1002,674.02,888.27,74.97,27.89,3.66,0.0
20230103:1102,678.35,894.95,78.6,28.25,3.79,0.0
20230103:1202,657.93,862.8,70.51,28.21,4.14,0.0
20230103:1302,613.22,795.04,58.82,27.21,4.34,0.0
20230103:1402,542.51,694.71,46.46,25.54,4.41,0.0
20230103:1502,443.13,565.48,34.02,23.91,4.21,0.0
20230103:1602,275.23,357.72,21.76,22.32,3.59,0.0
20230103:1702,71.79,107.85,9.87,21.06,2.76,0.0
20230103:1802,0.0,0.0,0.0,19.83,2.0,0.0
20230103:1902,0.0,0.0,0.0,19.17,1.79,0.0
20230103:2002,0.0,0.0,0.0,18.8,1.59,0.0
20230103:2102,0.0,0.0,0.0,18.65,1.52,0.0
20230103:2202,0.0,0.0,0.0,18.32,1.72,0.0
20230103:2302,0.0,0.0,0.0,17.98,1.79,0.0
